iter	RMSE
0	4328.569725
1	4100.690098
2	3882.601957
3	3673.05642
4	3477.639658
5	3292.959863
6	3120.52612
7	2956.342449
8	2800.345347
9	2658.568416
10	2526.481941
11	2397.754298
12	2282.62158
13	2172.033798
14	2063.41036
15	1964.264492
16	1871.483458
17	1787.306568
18	1704.426634
19	1627.617592
20	1554.659327
21	1486.678295
22	1424.694065
23	1363.087543
24	1309.039427
25	1257.387276
26	1206.667096
27	1163.30483
28	1120.395275
29	1080.421574
30	1045.132993
31	1012.281012
32	979.4098825
33	950.7501365
34	924.3996421
35	898.5289356
36	875.8172034
37	856.1707289
38	837.8174071
39	819.9160141
40	805.0310175
41	790.9216648
42	776.2728746
43	762.005466
44	749.3683857
45	739.0196525
46	728.7491283
47	718.2155849
48	709.6967994
49	701.2951079
50	692.8603717
51	685.230355
52	677.4452452
53	670.9086093
54	663.7363983
55	658.0351598
56	653.0950111
57	647.3843347
58	642.4137214
59	637.8826677
60	633.5714678
61	629.2245415
62	625.7683683
63	622.4216169
64	619.1909805
65	616.66843
66	613.7081953
67	611.0107707
68	608.2412899
69	605.0002842
70	602.1732871
71	599.2628152
72	597.4951941
73	594.9180229
74	590.8371588
75	588.7142909
76	586.1689508
77	584.0701167
78	581.7640233
79	579.6979677
